fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matrícula_en_su_caso,texto_matricula
1,car,0.8438278436660767,2,1321,312,1398,371,N/A,N/A
2,car,0.814831554889679,2,1321,312,1397,371,N/A,N/A
3,car,0.8184860348701477,2,1320,312,1395,371,N/A,N/A
4,car,0.8380135893821716,2,1318,312,1395,371,N/A,N/A
5,car,0.8167461156845093,2,1316,312,1394,371,N/A,N/A
6,car,0.807459831237793,2,1316,312,1392,370,N/A,N/A
7,car,0.7958809733390808,2,1316,312,1390,370,N/A,N/A
8,car,0.787251889705658,2,1314,312,1389,369,N/A,N/A
9,car,0.781516432762146,2,1313,312,1387,368,N/A,N/A
10,car,0.8050704002380371,2,1311,312,1386,368,N/A,N/A
11,car,0.8014792203903198,2,1310,312,1385,367,N/A,N/A
12,car,0.7826130390167236,2,1309,312,1384,368,N/A,N/A
13,car,0.7879984974861145,2,1309,312,1382,368,N/A,N/A
14,car,0.7940635681152344,2,1309,312,1380,368,N/A,N/A
15,car,0.778174638748169,2,1309,312,1378,368,N/A,N/A
16,car,0.7746444344520569,2,1308,312,1375,367,N/A,N/A
17,car,0.7818209528923035,2,1308,313,1374,367,N/A,N/A
18,car,0.7767423987388611,2,1308,313,1373,366,N/A,N/A
19,car,0.7697035670280457,2,1308,313,1372,367,N/A,N/A
20,car,0.7844312191009521,2,1308,314,1370,367,N/A,N/A
21,car,0.7531193494796753,2,1308,313,1369,368,N/A,N/A
22,car,0.7301616668701172,2,1308,313,1368,368,N/A,N/A
23,car,0.740917980670929,2,1308,313,1366,367,N/A,N/A
24,car,0.7163617610931396,2,1308,313,1366,366,N/A,N/A
25,car,0.7035917639732361,2,1308,312,1366,366,N/A,N/A
26,car,0.7072637677192688,2,1308,312,1365,366,N/A,N/A
27,car,0.6870059370994568,2,1308,311,1365,365,N/A,N/A
28,car,0.6731322407722473,2,1308,310,1364,366,N/A,N/A
29,car,0.6495721340179443,2,1307,309,1364,365,N/A,N/A
30,car,0.6271336078643799,2,1307,308,1362,365,N/A,N/A
31,car,0.6198745965957642,2,1306,307,1359,364,N/A,N/A
32,car,0.6379952430725098,2,1305,308,1357,363,N/A,N/A
33,car,0.642729640007019,2,1304,308,1356,363,N/A,N/A
34,car,0.6257085800170898,2,1303,308,1355,363,N/A,N/A
35,car,0.6164950728416443,2,1302,308,1354,363,N/A,N/A
36,car,0.5972058773040771,2,1302,309,1352,362,N/A,N/A
37,car,0.6001169085502625,2,1302,310,1351,362,N/A,N/A
38,car,0.540185809135437,2,1302,311,1350,362,N/A,N/A
39,car,0.485218346118927,2,1302,313,1348,362,N/A,N/A
40,car,0.47551777958869934,2,1302,314,1347,361,N/A,N/A
41,car,0.4481631815433502,2,1302,314,1347,362,N/A,N/A
42,car,0.510803759098053,2,1303,315,1345,360,N/A,N/A
43,car,0.46152687072753906,2,1302,316,1344,360,N/A,N/A
44,car,0.53376305103302,2,1302,316,1342,361,N/A,N/A
45,car,0.41971102356910706,2,1300,316,1341,361,N/A,N/A
64,car,0.40723809599876404,2,1289,321,1328,358,N/A,N/A
65,car,0.4346981346607208,2,1288,319,1327,358,N/A,N/A
66,car,0.4385610520839691,2,1288,319,1326,359,N/A,N/A
67,car,0.4801776111125946,2,1287,319,1326,360,N/A,N/A
68,car,0.4552013874053955,2,1287,319,1325,359,N/A,N/A
69,car,0.4666211009025574,2,1287,320,1325,359,N/A,N/A
70,car,0.5087177157402039,2,1286,320,1326,360,N/A,N/A
71,car,0.4411933720111847,2,1286,319,1326,358,N/A,N/A
72,car,0.5177867412567139,2,1286,319,1324,358,N/A,N/A
73,car,0.6030755043029785,2,1286,319,1323,358,N/A,N/A
74,car,0.5911926627159119,2,1286,320,1323,357,N/A,N/A
75,car,0.5855416059494019,2,1285,321,1322,356,N/A,N/A
76,car,0.5252930521965027,2,1285,321,1321,355,N/A,N/A
77,car,0.5082000494003296,2,1285,317,1320,356,N/A,N/A
78,car,0.5484390258789062,2,1285,316,1318,356,N/A,N/A
79,car,0.5070468783378601,2,1285,313,1318,356,N/A,N/A
80,car,0.4326806366443634,2,1284,311,1318,355,N/A,N/A
